Model,Country,total_sales_volume
124 Spider,Germany,128679
3008,France,142705
308,France,157315
3 Series,France,137198
500,Germany,120729
5008,France,148426
500X,Germany,135835
508,USA,154735
5 Series,USA,138666
7 Series,France,114252
911,Germany,123869
A4,USA,146789
A6,USA,121653
Altima,Germany,170506
Ascent,France,138712
Astra,Germany,143371
Atlas,Germany,141923
Bolt,Germany,139880
Camry,Germany,153827
Captur,USA,121125
C-Class,Germany,146346
Civic,Germany,119968
Clio,France,133694
Corolla,Germany,125461
Corsa,USA,129437
Crossland X,Germany,140402
Cruze,France,122554
CR-V,USA,119183
CX-5,USA,130603
CX-9,Germany,166734
E-Class,Germany,130473
Elantra,France,141522
Enclave,Germany,142560
Encore,France,120247
Envision,Germany,137773
Equinox,Germany,133133
ES,USA,124156
Escape,France,142313
e-tron,Germany,171938
Explorer,USA,140509
F-150,USA,138183
Fit,France,135283
Forester,Germany,142302
Forte,USA,120578
F-PACE,Germany,171868
Fusion,USA,150793
GLC,Germany,122980
GLE,Germany,122743
Golf,Germany,126910
Grandland X,USA,148489
GX,France,145293
Highlander,France,115275
Impreza,USA,137815
Insignia,Germany,157990
I-PACE,France,153652
Jetta,France,128994
Kadjar,USA,119020
Leaf,USA,142823
Legacy,Germany,134348
LS,Germany,134791
Macan,Germany,172193
Malibu,USA,140227
Maxima,USA,162986
Mazda3,USA,152862
Mazda6,France,157019
MDX,France,152007
Megane,Germany,154270
Model 3,Germany,137227
Model S,France,147277
Model X,USA,124706
Model Y,Germany,162650
Murano,France,152077
Mustang,USA,151630
MX-5,Germany,142195
NX,Germany,149735
Optima,France,148621
Outback,Germany,141356
Palisade,France,157255
Panamera,Germany,146124
Panda,USA,145643
Passat,USA,126394
Pilot,France,121203
Prius,Germany,149235
Q5,USA,160401
Q7,France,129692
Rav4,France,127124
RDX,France,143214
Regal,France,129372
RLX,Germany,140439
Rogue,Germany,171686
RX,France,138662
S60,USA,172843
S90,France,140434
Santa Fe,USA,130647
Scenic,USA,144261
S-Class,Germany,155668
Sonata,Germany,132521
Soul,USA,114059
Sportage,Germany,141291
Taycan,Germany,133457
Telluride,Germany,156865
Tiguan,USA,118565
Tipo,USA,145685
TLX,USA,151154
Traverse,USA,132700
Tucson,USA,163502
X3,Germany,127973
X5,USA,125424
XC40,Germany,128064
XC60,Germany,115559
XC90,USA,134097
XE,USA,146884
XF,Germany,122498
