Year,engine_type,sum
2010,Thermal,637809
2010,Electric,354826
2011,Electric,730645
2011,Thermal,963614
2012,Thermal,1242465
2012,Electric,916665
2013,Electric,1226893
2013,Thermal,1314045
2014,Electric,1478347
2014,Thermal,1250343
2015,Thermal,1343403
2015,Electric,1621716
2016,Thermal,1376981
2016,Electric,1522391
2017,Thermal,1319564
2017,Electric,1707170
2018,Electric,1763122
2018,Thermal,1350481
2019,Thermal,1306158
2019,Electric,1926869
2020,Electric,1690009
2020,Thermal,1472979
2021,Electric,1760604
2021,Thermal,1564113
2022,Thermal,1807233
2022,Electric,1403147
